YYZ	YYZ	airport	Toronto Pearson International	43.677222	-79.630556	Toronto	YTO	Canada	CA	America/Toronto
BKI	BKI	airport	Kota Kinabalu International	5.937222	116.053056	Kota Kinabalu	BKI	Malaysia	MY	Asia/Kuala_Lumpur
BNE	BNE	airport	Brisbane	-27.384167	153.1175	Brisbane	BNE	Australia	AU	Australia/Brisbane
BOG	BOG	airport	El Dorado International	4.701667	-74.146944	Bogotá	BOG	Colombia	CO	America/Bogota
BOM	BOM	airport	Chhatrapati Shivaji International	19.088611	72.868056	Mumbai	BOM	India	IN	Asia/Calcutta
PUS	PUS	airport	Gimhae International	35.176667	128.9425	Busan	PUS	South Korea	KR	Asia/Seoul
CAI	CAI	airport	Cairo International	30.121944	31.405556	Cairo	CAI	Egypt	EG	Africa/Cairo
CKG	CKG	airport	Chongqing Jiangbei International	29.719444	106.641944	Chongqing	CKG	China	CN	Asia/Shanghai
CJU	CJU	airport	Jeju International	33.511389	126.493056	Jeju City	CJU	South Korea	KR	Asia/Seoul
CMB	CMB	airport	Bandaranaike International	7.180278	79.885278	Colombo	CMB	Sri Lanka	LK	Asia/Colombo
DAD	DAD	airport	Da Nang International	16.043889	108.199444	Da Nang	DAD	Vietnam	VN	Asia/Saigon
SAN	SAN	airport	San Diego International	32.733611	-117.18972	San Diego	SAN	United States	US	America/Los_Angeles
BGY	BGY	airport	Milan Bergamo International Airport	45.668889	9.700278	Milan	MIL	Italy	IT	Europe/Rome
GLA	GLA	airport	Glasgow	55.871944	-4.433333	Glasgow	GLA	United Kingdom	GB	Europe/London
LYS	LYS	airport	Lyon–Saint-Exupéry	45.725556	5.081111	Lyon	LYS	France	FR	Europe/Paris
IEV	IEV	airport	Kyiv International Airport (Zhuliany)	50.401667	30.449722	Kiev	IEV	Ukraine	UA	Europe/Kiev
KEF	KEF	airport	Keflavík International	63.985	-22.605556	Reykjavik	REK	Iceland	IS	Atlantic/Reykjavik
KMG	KMG	airport	Kunming Changshui International	24.992222	102.743611	Kunming	KMG	China	CN	Asia/Shanghai
KRR	KRR	airport	Krasnodar International	45.0325	39.166389	Krasnodar	KRR	Russia	RU	Europe/Moscow
STN	STN	airport	London Stansted	51.885	0.235	London	LON	United Kingdom	GB	Europe/London
LIM	LIM	airport	Jorge Chávez International	-12.021944	-77.114444	Lima	LIM	Peru	PE	America/Lima
MRS	MRS	airport	Marseille Provence	43.436667	5.215	Marseille	MRS	France	FR	Europe/Paris
